signature,maxTargetSdk,publicAlternatives,trackingBug
|Landroid/bluetooth/BluetoothMapClient;->sendMessage(Landroid/bluetooth/BluetoothDevice;[Landroid/net/Uri;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothPan;-><init>(Landroid/content/Context;Landroid/bluetooth/BluetoothAdapter;)V|,||,||,||
|Landroid/bluetooth/BluetoothPan;->close()V|,||,||,||
|Landroid/bluetooth/BluetoothPan;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothPan;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->isEnabled()Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->isValidDevice(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->log(Ljava/lang/String;)V|,||,||,||
|Landroid/bluetooth/BluetoothPbap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_AUTO_CONNECT:I|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_UNDEFINED:I|,||,||,||
|Landroid/bluetooth/BluetoothSap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothServerSocket;->mSocket:Landroid/bluetooth/BluetoothSocket;|,||,|Use public {@link BluetoothServerSocket} API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->EADDRINUSE:I|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothSocket;->mPfd:Landroid/os/ParcelFileDescriptor;|,||,|Use {@link BluetoothSocket} public API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->mPort:I|,||,||,||
|Landroid/bluetooth/BluetoothSocket;->mSocket:Landroid/net/LocalSocket;|,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is16BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is32BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||
|Landroid/bluetooth/le/ScanRecord;->parseFromBytes([B)Landroid/bluetooth/le/ScanRecord;|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->a2dpConcurrentSourceSink()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->a2dpOffloadCodecExtensibility()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->airplaneRessourcesInApp()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->allowSwitchingHidAndHogp()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->apiGetConnectionStateSyncOnMain()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->apiGetConnectionStateUsingIdentityAddress()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->ashaAsrc()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->asymmetricPhyForUnidirectionalCis()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->audioHalVersionClass()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->audioRoutingCentralization()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->autoConnectOnHfpWhenNoA2dpDevice()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->autoConnectOnMultipleHfpWhenNoA2dpDevice()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->autoOnFeature()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->bluffsMitigation()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->brcmBetterLeScanParams()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->breakUhidPollingEarly()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->btSocketApiL2capCid()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->btSystemContextReport()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->btaDmDeferDeviceDiscoveryStateChangeUntilRnrComplete()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->btaDmDiscStuckInCancellingFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->channelSounding()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->channelSoundingInStack()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->closeRfcommInsteadOfReset()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->connectHidAfterServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->correctBondTypeOfLoadedDevices()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->delayBondingWhenBusy()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->divideLongSingleGapData()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->dumpsysUsePassedInFd()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->enableSniffOffload()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->encryptedAdvertisingData()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->enumerateGattErrors()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->fixLeOobPairingBypass()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->fixLePairingPasskeyEntryBypass()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->fixNonconnectableScannableAdvertisement()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->fixPairingFailureReasonFromRemote()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->forceBredrForSdpRetry()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->gattCleanupRestrictedHandles()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->gattDropAclOnOutOfResourcesFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->gattFixDeviceBusy()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->gattReconnectOnBtOnFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->gdxDeviceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->gdxServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->getAddressTypeApi()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->handleDeliverySendingFailureEvents()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->hfpCodecAptxVoice()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->higherL2capFlushThreshold()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->identityAddressNullIfUnknown()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->ignoreBondTypeForLe()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->isScoManagedByAudio()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->keepStoppedMediaBrowserService()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->keyMissingBroadcast()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->l2capTxCompleteCbInfo()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leAudioDevTypeDetectionFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leAudioFastBondParams()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->lePeriodicScanningReassembler()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leScanFixRemoteException()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leScanParametersFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioActiveDeviceManagerGroupHandlingFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioAddSamplingFrequencies()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioApiSynchronizedBlockFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioBroadcastAudioHandoverPolicies()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioBroadcastFeatureSupport()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioBroadcastMonitorSourceSyncStatus()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioBroadcastVolumeControlForConnectedDevices()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioCallbackOnGroupStreamStatus()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioCodecConfigCallbackOrderFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioDynamicSpatialAudio()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioEnableHealthBasedActions()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioHalClientAsrc()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioMcsTbsAuthorizationRebondFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioMulticodecAidlSupport()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioMultipleVocsInstancesApi()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioStartStreamRaceFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioUnicastInactivateDeviceBasedOnContext()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->leaudioVolumeChangeOnRingtoneFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->metadataApiInactiveAudioDeviceUponConnection()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->mfiHasUuid()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->nrpaNonConnectableAdv()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->oppFixMultipleNotificationsIssues()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->oppServiceFixIndexOutOfBoundsExceptionInUpdateThread()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->oppStartActivityDirectlyFromNotification()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->phyToNative()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->pretendNetworkService()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->removeBondWithAddressMap()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->reportVscDataFromTheGdController()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->resetPairingOnlyForRelatedServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->retryEscoWithZeroRetransmissionEffort()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->rfcommAlwaysUseMitm()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->rnrCancelBeforeEventRace()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->rnrPresentDuringServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->runBleAudioTicksInWorkerThread()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->scanManagerRefactor()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->scanTimeoutReset()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->settingsCanControlHapPreset()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->skipUnknownRobustCaching()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->supportExclusiveManager()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->supportMetadataDeviceTypesApis()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->synchronousBtaSec()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->systemServerMessenger()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->unixFileSocketCreationFailure()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->useDspCodecWhenControllerDoesNotSupport()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->useEntireMessageHandle()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->useLeShimConnectionMapGuard()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->useNewAirplaneMode()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->useNewSatelliteMode()Z|,||,||,||
|Lcom/android/bluetooth/flags/FakeFeatureFlagsImpl;->vcpMuteUnmute()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->a2dpConcurrentSourceSink()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->a2dpOffloadCodecExtensibility()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->airplaneRessourcesInApp()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->allowSwitchingHidAndHogp()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->apiGetConnectionStateSyncOnMain()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->apiGetConnectionStateUsingIdentityAddress()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->ashaAsrc()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->asymmetricPhyForUnidirectionalCis()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->audioHalVersionClass()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->audioRoutingCentralization()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->autoConnectOnHfpWhenNoA2dpDevice()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->autoConnectOnMultipleHfpWhenNoA2dpDevice()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->autoOnFeature()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->bluffsMitigation()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->brcmBetterLeScanParams()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->breakUhidPollingEarly()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->btSocketApiL2capCid()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->btSystemContextReport()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->btaDmDeferDeviceDiscoveryStateChangeUntilRnrComplete()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->btaDmDiscStuckInCancellingFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->channelSounding()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->channelSoundingInStack()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->closeRfcommInsteadOfReset()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->connectHidAfterServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->correctBondTypeOfLoadedDevices()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->delayBondingWhenBusy()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->divideLongSingleGapData()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->dumpsysUsePassedInFd()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->enableSniffOffload()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->encryptedAdvertisingData()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->enumerateGattErrors()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->fixLeOobPairingBypass()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->fixLePairingPasskeyEntryBypass()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->fixNonconnectableScannableAdvertisement()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->fixPairingFailureReasonFromRemote()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->forceBredrForSdpRetry()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->gattCleanupRestrictedHandles()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->gattDropAclOnOutOfResourcesFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->gattFixDeviceBusy()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->gattReconnectOnBtOnFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->gdxDeviceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->gdxServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->getAddressTypeApi()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->handleDeliverySendingFailureEvents()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->hfpCodecAptxVoice()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->higherL2capFlushThreshold()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->identityAddressNullIfUnknown()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->ignoreBondTypeForLe()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->isScoManagedByAudio()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->keepStoppedMediaBrowserService()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->keyMissingBroadcast()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->l2capTxCompleteCbInfo()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->leAudioDevTypeDetectionFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->leAudioFastBondParams()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->lePeriodicScanningReassembler()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->leScanFixRemoteException()Z|,||,||,||
|Lcom/android/bluetooth/flags/FeatureFlags;->leScanParametersFix()Z|,||,||,||
